File Version,BWSpec4.11_1
43,787.29,12701.75,37.11,1040.0000,65535.0000,1772.6667,732.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
44,787.45,12699.29,39.57,1120.0000,65535.0000,1882.3333,762.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
45,787.60,12696.83,42.03,1061.0000,65535.0000,2047.6667,986.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
46,787.75,12694.37,44.49,1079.0000,65535.0000,2628.0000,1549.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
47,787.90,12691.91,46.94,1102.0000,65535.0000,4437.0000,3335.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
48,788.06,12689.45,49.40,1118.0000,65535.0000,8920.0000,7802.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
49,788.21,12687.00,51.86,1100.0000,65535.0000,17506.0000,16406.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
50,788.36,12684.54,54.31,1091.0000,65535.0000,28782.3333,27691.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
51,788.51,12682.09,56.76,1048.0000,65535.0000,42144.6667,41096.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
52,788.67,12679.64,59.22,1078.0000,65535.0000,52045.6667,50967.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
53,788.82,12677.19,61.67,1095.0000,65535.0000,57166.0000,56071.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
54,788.97,12674.74,64.12,1090.0000,65535.0000,61136.6667,60046.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
55,789.12,12672.29,66.57,1075.0000,65535.0000,65112.0000,64037.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
56,789.28,12669.84,69.01,1051.0000,65535.0000,65535.0000,64484.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
57,789.43,12667.39,71.46,1101.0000,65535.0000,65535.0000,64434.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
58,789.58,12664.95,73.91,1110.0000,65535.0000,65535.0000,64425.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
59,789.73,12662.50,76.35,1081.0000,65535.0000,65535.0000,64454.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
60,789.89,12660.06,78.79,1084.0000,65535.0000,63593.3333,62509.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
61,790.04,12657.62,81.24,1099.0000,65535.0000,60658.3333,59559.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
62,790.19,12655.18,83.68,1092.0000,65535.0000,58441.3333,57349.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
63,790.34,12652.74,86.12,1094.0000,65535.0000,56990.3333,55896.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
64,790.50,12650.30,88.56,1082.0000,65535.0000,55832.0000,54750.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
65,790.65,12647.86,91.00,1075.0000,65535.0000,54434.0000,53359.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
66,790.80,12645.42,93.43,1067.0000,65535.0000,52909.3333,51842.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
67,790.95,12642.99,95.87,1074.0000,65535.0000,51292.6667,50218.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
68,791.10,12640.55,98.30,1129.0000,65535.0000,49507.3333,48378.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
69,791.26,12638.12,100.74,1092.0000,65535.0000,47697.3333,46605.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
70,791.41,12635.68,103.17,1090.0000,65535.0000,45810.6667,44720.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
